category	catdescr
mx_auto	Car
mx_barsandrestaurants	Bars And Restaurants
mx_beauty	Beauty
mx_book	Book Store
mx_constructionmaterials	Construction Material
mx_education	Education
mx_fashion	Fashion
mx_food	Food
mx_health	Heath
mx_home	Home
mx_hyper	Mall
mx_jewelry	Jewelry
mx_leisure	Leisure
mx_music	Music
mx_office	Office
mx_others	Others
mx_pet	Pet Shops
mx_services	Services
mx_shoes	Shoes
mx_sport	Sports
mx_tech	Technology And Electronics
mx_travel	Travel
